SNT,RT,MNA,Xpand,Maxscale,Xgress,Parameter,Default value(SNT),Default value(RT),Default value(MNA),Default value(Xpand),Default values(Xgress),Tag(s),Possible Values,Variable type,Requires restart,Read Only,Server/Maxscale,Multiselect,Minimum Value,Maximum Value,Documentation Link,Comments,Active,Config Section
,Yes,,,Yes,,transaction_replay_attempts,,10,,,,Routers,"1, 5, 10",integer,Yes,,,,,,https://mariadb.com/docs/skysql/ref/mxs/module-parameters/transaction_replay_attempts/,,,ReadWriteSplit
,Yes,,,Yes,,transaction_replay_max_size,,10Mi,,,,Routers,"1Mi, 16Mi, 32Mi, 64Mi",integer,Yes,,,,,,https://mariadb.com/docs/skysql/ref/mxs/module-parameters/transaction_replay_max_size/,,,ReadWriteSplit
,Yes,,,Yes,,transaction_replay_retry_on_deadlock,,true,,,,Routers,"true, false",boolean,Yes,,,,,,https://mariadb.com/docs/skysql/ref/mxs/module-parameters/transaction_replay_retry_on_deadlock/,,,ReadWriteSplit
,Yes,,,Yes,,use_sql_variables_in,,all,,,,Routers,"master,all",enum,Yes,Yes,,,,,https://mariadb.com/docs/skysql/ref/mxs/module-parameters/use_sql_variables_in/,,,ReadWriteSplit
Yes,Yes,Yes,Yes,,Yes,wait_timeout,600,600,28800,28800,28800,General,,integer,No,,,,1,31536000,https://r.mariadb.com/skysql-system-variables/wait_timeout/,,,
Yes,Yes,,,,,read_buffer_size,131072,131072,,,,"General, Memory",,numeric,No,,,,8200,2147479552,https://r.mariadb.com/skysql-system-variables/read_buffer_size/,,,
Yes,Yes,,,,,read_rnd_buffer_size,262144,262144,,,,"General, Memory",,numeric,No,,,,8200,2147483647,https://r.mariadb.com/skysql-system-variables/read_rnd_buffer_size/,,,
Yes,Yes,,,,,join_buffer_size,262144,262144,,,,"General, Memory",,numeric,No,,,,8228,18446744073709547520,https://r.mariadb.com/skysql-system-variables/join_buffer_size/,,,
Yes,Yes,,,,,binlog_cache_size,32768,32768,,,,"General, Memory",,numeric,No,,,,4096,18446744073709547520,https://r.mariadb.com/skysql-system-variables/binlog_cache_size/,,,
Yes,Yes,,,,,thread_stack,299008,299008,,,,General,,numeric,Yes,,,,131072,18446744073709551615,https://r.mariadb.com/skysql-system-variables/thread_stack/,,,
Yes,Yes,,,,,innodb_autoinc_lock_mode,2,2,,,,"InnoDB, Data Integrity","0,1,2",enum,Yes,,,,,,https://r.mariadb.com/skysql-system-variables/innodb_autoinc_lock_mode/,,,
Yes,,,,,,binlog_format,ROW,,,,,"Logs, Data Integrity","MIXED, STATEMENT, ROW",enum,No,,,,,,https://r.mariadb.com/skysql-system-variables/binlog_format/,,,
