SNT,RT,MNA,Xpand,Maxscale,Xgress,Parameter,Default value(SNT),Default value(RT),Default value(MNA),Default value(Xpand),Default values(Xgress),Tag(s),Possible Values,Variable type,Requires restart,Read Only,Server/Maxscale,Multiselect,Minimum Value,Maximum Value,Documentation Link,Comments,Active,Config Section
,,,Yes,,Yes,rebalancer_optional_tasks_enabled,,,,TRUE,TRUE,Rebalancer,"TRUE, FALSE",boolean,No,,,,,,https://mariadb.com/docs/xpand/service-management/operations/storage-management/xpand/manage-rebalancer/,,,
,,,Yes,,Yes,rebalancer_split_threshold_kb,,,,8388608,8388608,Rebalancer,"8388608, 16777216, 33554432",integer,No,,,,,,https://mariadb.com/docs/xpand/service-management/operations/storage-management/xpand/manage-rebalancer/,,,
No,No,No,,,,replicate_ignore_db,,,,,,Replication,,string,No,,,,,,https://r.mariadb.com/skysql-system-variables/replicate_ignore_db/,,No,
Yes,Yes,Yes,,,,require_secure_transport,ON,OFF,OFF,,,Security,"OFF,ON",boolean,No,,,,,,https://r.mariadb.com/skysql-system-variables/require_secure_transport/,,No,
No,Yes,No,,,,rpl_semi_sync_master_enabled,OFF,OFF,OFF,,,Replication,"OFF, ON",boolean,No,,,,,,https://r.mariadb.com/skysql-system-variables/rpl_semi_sync_master_enabled/,,,
No,Yes,No,,,,rpl_semi_sync_master_timeout,10000,10000,10000,,,Replication,"1000,10000,30000,60000,120000,600000",integer,No,,,,,,https://r.mariadb.com/skysql-system-variables/rpl_semi_sync_master_timeout/,,,
No,Yes,No,,,,rpl_semi_sync_master_wait_no_slave,ON,ON,ON,,,Replication,"OFF, ON",boolean,No,,,,,,https://r.mariadb.com/skysql-system-variables/rpl_semi_sync_master_wait_no_slave/,,,
No,Yes,No,,,,rpl_semi_sync_master_wait_point,AFTER_COMMIT,AFTER_COMMIT,AFTER_COMMIT,,,Replication,"AFTER_SYNC, AFTER_COMMIT",enumerated,No,,,,,,https://r.mariadb.com/skysql-system-variables/rpl_semi_sync_master_wait_point/,,,
No,Yes,No,,,,rpl_semi_sync_slave_delay_master,OFF,OFF,OFF,,,Replication,"OFF, ON",boolean,No,,,,,,https://r.mariadb.com/skysql-system-variables/rpl_semi_sync_slave_delay_master/,,,
No,Yes,No,,,,rpl_semi_sync_slave_enabled,OFF,OFF,OFF,,,Replication,"OFF, ON",boolean,No,,,,,,https://r.mariadb.com/skysql-system-variables/rpl_semi_sync_slave_enabled/,,,
No,Yes,No,,,,rpl_semi_sync_slave_kill_conn_timeout,5,5,5,,,Replication,"0,5,10,30,60",integer,No,,,,,,https://r.mariadb.com/skysql-system-variables/rpl_semi_sync_slave_kill_conn_timeout/,,,
Yes,Yes,Yes,,,,server_audit,ON,ON,ON,,,Security,"OFF, ON, FORCE, FORCE_PLUS_PERMANENT",eumerated,No,Yes,,,,,"https://mariadb.com/docs/skysql-previous-release/ref/mdb/plugins/SERVER_AUDIT,server_audit2.so/",,,
Yes,Yes,Yes,,,,server_audit_file_rotate_size,1000000,1000000,1000000,,,General,,BIGINT UNSIGNED,No,,,,100,9223372036854775807,https://r.mariadb.com/skysql-system-variables/server_audit_file_rotate_size/,,,
Yes,Yes,Yes,,,,server_audit_logging,OFF,OFF,OFF,,,Security,"ON, OFF",boolean,No,,,,,,https://r.mariadb.com/skysql-system-variables/server_audit_logging/,,,
,,,Yes,,Yes,session_log_slow_threshold_ms,,,,10000,10000,Logging,,double,No,,,,0,1000000,https://mariadb.com/docs/service-management/logs/xpand/query-log/,,,
Yes,Yes,Yes,,,,session_track_system_variables,"5 selected","5 selected","5 selected",,,General,"autocommit,character_set_client,character_set_connection,character_set_results,time_zone, last_gtid",enumerated,No,,,Yes,,,https://r.mariadb.com/skysql-system-variables/session_track_system_variables/,,,
Yes,Yes,Yes,Yes,,Yes,simple_password_check_digits,1,1,1,1,1,Security,"0,1,2,5,10",integer,No,,,,,,https://r.mariadb.com/skysql-system-variables/simple_password_check_digits/,,,
Yes,Yes,Yes,Yes,,Yes,simple_password_check_letters_same_case,1,1,1,1,1,Security,"0,1,2,5,10",integer,No,,,,,,https://r.mariadb.com/skysql-system-variables/simple_password_check_letters_same_case/,,,
Yes,Yes,Yes,Yes,,Yes,simple_password_check_minimal_length,8,8,8,8,8,Security,"0,1,8,12,16,20,32",integer,No,,,,,,https://r.mariadb.com/skysql-system-variables/simple_password_check_minimal_length/,,,
Yes,Yes,Yes,Yes,,Yes,simple_password_check_other_characters,1,1,1,1,1,Security,"0,1,2,5,10",integer,No,,,,,,https://r.mariadb.com/skysql-system-variables/simple_password_check_other_characters/,,,
No,Yes,No,,,,slave_compressed_protocol,OFF,OFF,OFF,,,Replication,"ON, OFF",boolean,No,,,,,,https://r.mariadb.com/skysql-system-variables/slave_compressed_protocol/,,,
No,Yes,No,,,,slave_parallel_mode,optimistic,optimistic,optimistic,,,Replication,"none, minimal, conservative, optimistic, aggressive",enumerated,No,,,,,,https://r.mariadb.com/skysql-system-variables/slave_parallel_mode/,,,
No,Yes,No,,,,slave_parallel_workers,0,0,0,,,Replication,"0,2,4,8,16,32,64,128,256",integer,No,,,,,,https://r.mariadb.com/skysql-system-variables/slave_parallel_workers/,,,
,Yes,,,Yes,,slave_selection_criteria,,LEAST_CURRENT_OPERATIONS,,,,Routers,"LEAST_GLOBAL_CONNECTIONS, LEAST_ROUTER_CONNECTIONS,  LEAST_BEHIND_MASTER, LEAST_CURRENT_OPERATIONS, ADAPTIVE_ROUTING",enum,Yes,,,,,,https://mariadb.com/docs/skysql/ref/mxs/module-parameters/slave_selection_criteria/,,,ReadWriteSplit
Yes,Yes,Yes,,,,slow_query_log,OFF,OFF,OFF,,,General,"ON, OFF",boolean,No,,,,,,https://r.mariadb.com/skysql-system-variables/slow_query_log/,,,
Yes,Yes,Yes,,,,sort_buffer_size,2097152,2097152,2097152,,,General,,bigint unsigned,No,,,,1024,18446744073709551615,https://r.mariadb.com/skysql-system-variables/sort_buffer_size/,,,
Yes,Yes,No,,,,sql_mode,"4 selected","4 selected","4 selected",,,General,"STRICT_TRANS_TABLES,ERROR_FOR_DIVISION_BY_ZERO,NO_AUTO_CREATE_USER,NO_ENGINE_SUBSTITUTION,DB2,MSSQL,ORACLE,POSTGRESQL",string,No,,,Yes,,,https://r.mariadb.com/skysql-system-variables/sql_mode/,,,
,Yes,,,Yes,,strict_multi_stmt,,false,,,,Routers,"true, false",boolean,Yes,,,,,,https://mariadb.com/docs/skysql/ref/mxs/module-parameters/strict_multi_stmt/,,,ReadWriteSplit
Yes,Yes,Yes,Yes,,Yes,strict_password_validation,ON,ON,ON,ON,ON,Security,"OFF, ON",boolean,No,,,,,,https://r.mariadb.com/skysql-system-variables/strict_password_validation/,,,
,Yes,,,Yes,,strict_sp_calls,,false,,,,Routers,"true, false",boolean,Yes,,,,,,https://mariadb.com/docs/skysql/ref/mxs/module-parameters/strict_sp_calls/,,,ReadWriteSplit
No,Yes,No,,,,sync_master_info,1,1,1,,,"Replication, Data Integrity","0,1,10,100,1000,10000,100000",integer,No,,,,,,https://r.mariadb.com/skysql-system-variables/sync_master_info/,,,
No,Yes,No,,,,sync_relay_log,0,0,0,,,"Replication, Data Integrity","0,1,10,100,1000,10000,100000",integer,No,,,,,,https://r.mariadb.com/skysql-system-variables/sync_relay_log/,,,
No,Yes,No,,,,sync_relay_log_info,0,0,0,,,"Replication, Data Integrity","0,1,10,100,1000,10000,100000",integer,No,,,,,,https://r.mariadb.com/skysql-system-variables/sync_relay_log_info/,,,
